#Data from Fuhrman (2010) for flow in rough channel : mean streamwise velocity
#ustar = 0.0021m/s
#h = 0.062m
#nu = 9.6e-7 m^2/s
#kn = 0.0099
#u/ustar z/kn 
4.68100 0.16665
4.99307 0.19674
5.20111 0.21698
5.55479 0.26729
6.01248 0.31422
6.24133 0.36624
6.49098 0.41612
6.82386 0.51481
7.32316 0.61557
7.73925 0.71445
8.00971 0.81176
8.28017 0.91061
8.52982 1.00855
8.75867 1.11227
8.98752 1.20595
9.19556 1.30753
9.67406 1.50470
10.02774 1.75385
10.40222 2.00975
10.85992 2.26411
11.38003 2.50761
11.90014 2.99844
12.54508 3.49493
13.25243 4.51174
13.91817 5.51087
