#Data from Fuhrman (2010) for flow in smooth channel : mean streamwise velocity
#ustar = 0.0016m/s
#h = 0.06m
#nu = 9.6e-7 m^2/s
#u/ustar z*ustar/nu 
4.56919 5.03195
7.59356 8.48200
9.83464 13.51281
11.16188 16.93577
12.96780 25.32054
13.77285 33.93466
14.27328 41.78707
14.83899 50.55678
15.38294 59.04663
15.68755 67.27994
15.94865 75.58705
16.01393 85.21997
16.44909 100.94523
16.92776 117.06773
17.23238 134.33588
17.60226 151.45583
17.88512 168.36479
18.05918 185.19106
18.45083 211.01364
18.84247 253.50332
19.47346 295.03070
19.77807 334.98514
20.21323 376.34603
20.62663 419.84093
20.86597 456.93771
21.08355 502.60377
21.43168 589.07914
21.88860 671.21885
22.01915 756.75992
